,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,Linear,RandomForest,GBR,DecisionTree,XGB
4439,-118.19,34.1,39,2054,423.0,1205,403,4.239,213000,<1H OCEAN,244003.06,236239.0,236962.25,267529.6,227511.56
19740,-122.38,40.09,16,2077,388.0,1155,389,3.1361,84800,INLAND,93060.77,102189.0,102044.15,88919.35,102877.17
15281,-117.3,33.06,31,2128,520.0,1049,485,4.027,290000,NEAR OCEAN,251185.46,354305.22,249825.45,403893.28,311623.19
653,-122.13,37.71,44,1421,298.0,609,270,3.5781,180000,NEAR BAY,238656.97,168856.0,234484.03,208552.89,192714.97
5077,-118.29,33.98,44,2261,555.0,1348,455,1.9125,97200,<1H OCEAN,170146.68,133181.0,177318.07,114761.98,119791.06
1159,-121.53,39.52,30,1030,161.0,448,159,2.4821,73800,INLAND,73612.48,68705.0,86049.26,78105.45,88900.85
17428,-120.47,34.65,16,2549,428.0,1486,432,4.2875,150700,NEAR OCEAN,260922.86,177557.0,229071.19,255593.96,142517.28
4986,-118.3,34.0,52,1718,354.0,1026,312,2.0,128000,<1H OCEAN,172683.27,140025.0,174064.66,114761.98,115184.64
8103,-118.22,33.8,33,1984,477.0,1764,440,3.875,165100,NEAR OCEAN,221340.69,209434.02,209618.37,240860.0,175555.92
5139,-118.27,33.97,39,2569,688.0,2601,630,2.0754,101400,<1H OCEAN,144867.5,119294.0,152502.78,114761.98,122799.87
4608,-118.34,34.06,52,1311,310.0,707,290,3.4812,432800,<1H OCEAN,239282.17,381662.03,281703.25,317937.58,339266.47
20299,-119.21,34.18,13,6103,1319.0,2986,1212,3.9718,215200,NEAR OCEAN,268121.96,269766.08,264350.14,219295.33,229935.61
11045,-117.83,33.81,24,3550,895.0,2828,834,2.8403,225600,<1H OCEAN,166683.92,179287.0,175077.64,191577.65,164998.75
20414,-118.85,34.18,11,5873,1455.0,3089,1365,3.5504,173800,<1H OCEAN,253267.84,222060.01,239317.48,236768.99,216269.03
19976,-118.37,36.19,10,443,111.0,48,21,3.125,71300,INLAND,82135.69,90726.0,115498.82,88206.77,146974.5
17813,-121.85,37.39,15,8748,1547.0,4784,1524,5.8322,276600,<1H OCEAN,288033.05,268673.02,305452.85,307672.96,277659.03
8715,-118.37,33.85,25,5622,998.0,2537,1009,5.785,395300,<1H OCEAN,317617.34,321892.06,354301.34,307672.96,373335.91
2940,-118.96,35.37,32,1025,259.0,874,236,1.9612,53400,INLAND,89122.39,56306.0,56005.14,59816.16,54642.85
16608,-120.64,35.65,9,3466,673.0,2356,619,2.9926,158200,<1H OCEAN,171641.37,164241.0,193712.83,178946.55,157788.47
3718,-118.41,34.19,42,779,145.0,450,148,3.9792,193800,<1H OCEAN,237189.38,186156.0,237448.82,208552.89,194641.11
9360,-122.53,37.95,22,7446,1979.0,2980,1888,3.5838,271300,NEAR BAY,333001.23,249703.0,243195.69,237060.0,294736.66
13497,-117.33,34.15,28,1473,333.0,1196,312,1.6993,67800,INLAND,58956.59,80509.0,57376.22,85332.9,69863.97
12218,-117.23,33.57,6,13724,2269.0,5860,1986,3.9617,183000,<1H OCEAN,199598.88,189591.0,215443.63,160146.15,195320.28
9616,-120.44,37.28,12,2855,598.0,1658,586,2.3929,81100,INLAND,85730.69,98319.0,82005.34,104445.9,84496.2
12149,-117.2,33.7,23,6323,1196.0,1984,1124,2.3276,92400,<1H OCEAN,191157.72,143551.0,199595.44,168772.6,165156.5
12896,-121.34,38.64,12,2772,578.0,1335,565,3.8068,161000,INLAND,139849.6,116882.0,141142.98,146201.42,132022.16
13581,-117.28,34.12,36,2991,822.0,2378,751,1.3571,70600,INLAND,67428.93,74941.0,85642.37,85332.9,59195.15
19824,-119.48,36.5,32,3451,625.0,1968,574,2.9554,110300,INLAND,110998.1,76249.0,85247.58,72856.96,75195.26
18617,-122.04,37.04,17,4977,994.0,1987,947,3.8854,312300,NEAR OCEAN,272367.53,274900.01,282559.36,285062.66,237785.23
5340,-118.45,34.03,39,1657,402.0,931,363,3.7813,336300,<1H OCEAN,242194.03,455855.6,302201.7,378980.96,351944.78
12036,-117.47,33.92,18,3869,773.0,2500,726,3.6583,126100,INLAND,135035.17,135221.0,136456.93,136219.72,123712.3
1551,-121.94,37.75,16,5121,735.0,2464,761,6.6204,296100,<1H OCEAN,305819.84,320538.05,312290.71,326551.91,309042.09
13852,-117.28,34.51,10,4676,884.0,2845,812,3.0181,100400,INLAND,78590.09,96757.0,88711.16,102772.73,87893.75
16621,-120.95,35.44,30,6346,1410.0,1769,887,2.6864,283600,NEAR OCEAN,276676.69,228599.0,248334.61,223077.8,208177.11
6341,-117.9,33.97,23,7353,1255.0,4014,1124,5.4155,213200,<1H OCEAN,249187.37,282246.02,260544.65,260198.65,271756.25
1045,-120.77,38.38,15,4221,816.0,1737,743,2.3125,128600,INLAND,83480.53,115239.0,106416.29,122125.81,124948.58
15091,-116.93,32.8,19,1867,538.0,1219,468,2.0685,130000,<1H OCEAN,149293.68,126194.0,123586.0,125689.25,103772.85
8163,-118.13,33.81,34,1903,343.0,928,349,5.395,241900,<1H OCEAN,291363.82,250311.0,261821.39,237522.89,264588.06
11915,-117.4,33.95,46,2189,423.0,866,389,3.1384,111500,INLAND,162359.5,118719.0,142686.62,114912.5,137799.06
1397,-122.07,37.96,34,1692,290.0,836,289,5.0172,197100,NEAR BAY,267677.36,212480.0,216849.1,215104.76,196889.69
9456,-123.71,39.88,42,1518,383.0,656,303,1.4952,69800,NEAR OCEAN,155166.64,90876.0,114488.12,100792.31,74075.99
19333,-122.72,38.58,4,7042,1100.0,2936,1043,5.0555,240800,<1H OCEAN,249614.72,230057.0,242617.83,294855.1,232222.78
10625,-117.77,33.72,9,2153,316.0,954,324,7.8139,304700,<1H OCEAN,346298.72,356194.0,372190.06,342963.33,329434.66
6172,-117.93,34.07,34,1409,305.0,819,273,3.3977,188800,<1H OCEAN,199293.19,173128.0,200340.4,159772.0,189271.52
8854,-118.41,34.07,52,1202,142.0,408,138,15.0001,500001,<1H OCEAN,682393.93,500001.0,510443.49,499760.87,508435.06
9247,-120.07,36.97,28,1563,403.0,1564,408,1.5662,48000,INLAND,52186.72,67267.0,58221.41,59816.16,55265.36
20001,-119.27,36.05,29,1016,174.0,481,140,2.2917,112500,INLAND,91751.84,65560.99,78769.97,61130.23,85763.44
9650,-120.82,37.05,15,1385,288.0,775,255,1.933,140600,INLAND,81430.64,94556.0,87275.42,108371.43,95066.37
12569,-121.43,38.54,42,3321,688.0,1346,658,2.4618,101300,INLAND,135724.08,115961.0,116458.35,104911.48,102730.77
17391,-120.44,34.96,30,1685,315.0,1290,368,3.4722,112500,<1H OCEAN,230629.08,150180.0,184631.27,208552.89,127263.97
20119,-120.35,37.95,13,2104,407.0,960,401,2.4,177000,INLAND,70694.9,120221.0,95874.85,122125.81,111540.77
7452,-118.17,33.95,23,1991,584.0,1380,535,1.9107,181900,<1H OCEAN,152418.2,164282.0,138145.86,148730.68,137152.25
1168,-121.57,39.5,31,2023,469.0,1073,436,1.5714,56100,INLAND,53450.87,61158.0,83259.92,59333.33,58019.13
10278,-117.82,33.88,18,1982,300.0,1027,324,7.0526,327500,<1H OCEAN,320464.04,303972.0,314060.72,312104.55,291025.12
17838,-121.9,37.44,4,1646,408.0,853,410,5.0821,265500,<1H OCEAN,266495.81,234860.0,288047.29,259418.32,236584.61
12638,-121.45,38.54,38,1865,384.0,1052,354,1.7891,60500,INLAND,80799.11,78747.0,76256.3,74278.15,79277.45
2240,-119.81,36.83,19,6789,1200.0,2325,1109,4.049,126000,INLAND,188826.03,132233.0,154971.34,146201.42,178195.3
8790,-118.36,33.8,34,2629,369.0,966,375,10.1241,500001,NEAR OCEAN,486040.28,499260.99,531672.17,499760.87,502005.84
10483,-117.68,33.59,8,2327,263.0,899,236,14.9009,500001,<1H OCEAN,615751.19,491287.6,442189.46,489189.56,489198.44
7886,-118.04,33.88,17,4807,838.0,3059,853,5.7619,297300,<1H OCEAN,261243.7,281668.02,260555.22,260198.65,277189.31
5437,-118.43,34.01,41,1527,279.0,746,285,6.4232,446600,<1H OCEAN,341665.26,442527.44,418924.79,402283.67,447181.81
19227,-122.71,38.5,15,5645,830.0,2324,769,6.6104,330900,<1H OCEAN,315408.49,338349.07,302035.13,326551.91,322633.19
9866,-121.83,36.6,30,2748,502.0,1491,535,4.3472,185000,<1H OCEAN,272415.55,234329.01,237723.51,255593.96,214260.97
16636,-120.82,35.31,16,3924,699.0,1325,638,2.5172,293900,NEAR OCEAN,216530.9,215326.0,200617.44,223077.8,178261.41
9224,-120.06,36.95,24,646,134.0,454,149,2.125,61900,INLAND,78376.24,72339.97,81204.2,59816.16,80033.16
684,-122.14,37.68,31,3184,716.0,1561,628,2.7955,183100,NEAR BAY,205538.87,167198.0,192858.86,178946.55,165396.56
12378,-116.46,33.78,25,1137,414.0,604,240,1.3801,55000,INLAND,52923.72,79004.0,102259.33,85332.9,103992.13
16487,-121.09,38.19,23,762,140.0,358,141,2.4545,105000,INLAND,88824.91,119222.0,105856.95,122125.81,131084.5
13062,-121.32,38.57,15,3369,499.0,1733,470,5.31,127500,INLAND,174256.78,186470.0,179262.88,187458.11,164963.69
19488,-120.99,37.66,30,1718,395.0,914,400,1.933,107000,INLAND,97598.42,86454.0,87946.32,74278.15,105480.3
207,-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500,NEAR BAY,171050.19,142770.0,147050.1,134641.56,143300.25
16145,-122.47,37.78,52,2169,522.0,1220,505,3.1989,446900,NEAR BAY,245624.28,417947.1,335889.7,476439.84,384428.5
10737,-117.91,33.61,40,2790,531.0,952,424,4.8,500001,<1H OCEAN,286899.21,349246.13,317019.06,250676.0,437789.66
20617,-121.53,39.06,20,561,109.0,308,114,3.3021,70800,INLAND,107094.27,107438.0,118604.58,127012.72,109224.72
14685,-117.04,32.83,8,2205,348.0,777,341,6.0266,177400,<1H OCEAN,287949.62,294077.09,257163.35,260215.79,259525.34
6729,-118.13,34.11,52,2568,345.0,1102,345,9.1373,500001,<1H OCEAN,440797.73,494206.92,469923.59,500001.0,452571.09
1678,-122.32,38.06,4,7999,1611.0,3596,1396,5.0969,174200,NEAR BAY,280297.38,199532.01,236797.95,294855.1,209214.34
1010,-121.73,37.68,17,20354,3493.0,8768,3293,5.4496,238900,INLAND,283756.01,239226.0,193504.64,282962.5,231387.44
2843,-118.98,35.4,36,1864,331.0,1052,325,3.4205,76600,INLAND,151480.12,80526.0,91677.12,88206.77,73235.41
17641,-121.9,37.25,28,2714,502.0,1389,490,5.7385,240400,<1H OCEAN,310874.98,316999.07,322921.94,259418.32,298632.72
12979,-121.3,38.69,13,2135,429.0,779,432,3.6995,134900,INLAND,138171.84,132022.0,161624.27,146201.42,145812.61
2712,-115.64,32.75,19,377,69.0,198,55,1.625,112500,INLAND,42615.51,65198.0,80086.1,78683.33,66193.34
10967,-117.89,33.76,34,1050,210.0,723,201,4.8,192700,<1H OCEAN,254782.75,189659.0,209570.04,190356.46,195732.7
8429,-118.36,33.92,46,1231,231.0,793,256,4.1023,226800,<1H OCEAN,250767.28,312033.0,301431.36,378980.96,278244.47
14743,-117.06,32.58,11,2879,679.0,2098,673,3.5125,142400,NEAR OCEAN,197356.76,138835.0,151822.34,144195.83,141581.42
2753,-115.49,32.67,25,2322,573.0,2185,602,1.375,70100,INLAND,28517.4,68909.0,53562.27,66616.67,59695.39
13560,-117.31,34.09,34,1336,345.0,1009,311,1.608,73700,INLAND,71043.06,71222.0,75428.41,85332.9,74439.38
10039,-121.03,39.21,28,2843,535.0,1310,525,3.2337,123100,INLAND,107006.46,149422.0,136413.88,127012.72,134167.72
14181,-117.05,32.72,35,1777,369.0,1158,353,3.4107,117000,NEAR OCEAN,211517.07,138794.0,145031.03,126661.36,116755.5
10105,-117.95,33.92,18,2825,660.0,1590,643,3.6106,153600,<1H OCEAN,210075.26,186129.0,201980.03,190356.46,207710.09
3003,-119.01,35.31,19,7092,1517.0,4101,1436,2.1006,74800,INLAND,107684.05,70887.0,84368.07,59816.16,61734.54
20189,-119.17,34.27,18,8010,1539.0,3982,1483,4.0905,236500,NEAR OCEAN,264053.11,235007.01,268836.71,226591.39,222775.14
6687,-118.07,34.14,42,3200,685.0,1668,628,3.375,260400,INLAND,180816.6,226142.0,176333.68,258716.67,225404.02
18885,-122.23,38.1,46,4143,895.0,2240,847,2.4201,92800,NEAR BAY,197259.27,121339.0,149858.71,285525.25,115386.34
6343,-117.75,34.06,52,62,9.0,44,16,0.4999,112500,INLAND,57111.27,340651.52,139358.76,258633.5,215394.52
7646,-118.27,33.81,42,865,208.0,811,218,3.8621,165300,<1H OCEAN,234094.44,229051.0,187210.4,274732.69,199642.11
16316,-121.32,38.0,21,1795,482.0,1114,472,2.0091,101500,INLAND,94117.22,90644.0,92545.43,105746.91,91800.86
20041,-118.99,36.06,19,2153,458.0,1317,386,1.7564,42600,INLAND,53016.63,59771.0,53194.7,59816.16,60493.71
18706,-122.37,40.54,28,2213,390.0,1096,378,3.6923,86900,INLAND,117169.31,112628.0,113440.98,121620.0,107682.34
20068,-120.39,37.98,52,1056,274.0,584,255,2.1513,86700,INLAND,102693.26,105035.0,92238.96,100820.48,89670.82
4243,-118.33,34.11,48,1601,464.0,784,461,3.0642,342900,<1H OCEAN,235306.06,333659.05,276728.12,295934.69,310731.56
7794,-118.08,33.89,37,1152,259.0,981,225,3.2857,153600,<1H OCEAN,195412.75,179361.0,165923.78,217782.32,155541.05
15379,-117.25,33.36,6,3725,960.0,2833,915,2.3214,247000,<1H OCEAN,131965.43,155993.01,167681.64,168772.6,160005.69
19890,-119.15,36.29,18,1435,,657,254,2.4281,72500,INLAND,93487.61,78737.0,102964.13,86808.33,82584.16
13366,-117.63,33.94,36,447,95.0,2886,85,4.2578,183300,INLAND,91974.97,163778.01,131076.4,155895.71,121885.66
3912,-118.55,34.19,18,5862,,3161,1280,3.1106,170600,<1H OCEAN,159707.11,217122.0,212653.59,236768.99,216419.66
10883,-117.89,33.71,16,1591,225.0,926,239,6.2452,266300,<1H OCEAN,287147.45,267914.0,265073.18,285827.16,249739.62
10569,-117.69,33.66,5,4246,689.0,1933,722,6.9501,225700,<1H OCEAN,315613.09,309363.0,322983.15,312104.55,314379.62
8551,-118.35,33.88,25,1459,362.0,1150,354,3.35,237500,<1H OCEAN,200760.7,306857.03,262173.92,378980.96,266815.72
6683,-118.09,34.16,45,2199,358.0,942,353,5.0393,321100,INLAND,239097.97,301638.0,243884.7,279662.5,283798.12
9997,-121.05,39.11,7,2767,423.0,1143,382,3.6333,170200,INLAND,91812.87,167801.0,137057.34,146201.42,175869.56
4169,-118.21,34.1,40,1684,316.0,795,330,5.2723,218300,<1H OCEAN,290490.7,332461.01,311982.19,328708.33,310289.5
20020,-119.04,36.07,17,2623,659.0,1912,618,1.5893,52000,INLAND,51330.9,61758.0,58555.91,59816.16,57403.99
13537,-117.3,34.15,33,1607,282.0,608,260,4.3438,115000,INLAND,181254.42,137475.0,166356.87,136386.36,138623.22
6347,-117.75,34.06,44,477,135.0,502,117,2.0156,112500,INLAND,104864.63,97948.0,107358.99,103025.0,109751.71
12455,-114.61,33.62,16,1187,261.0,1115,242,2.1759,61500,INLAND,597.67,64581.0,43609.23,63440.35,60894.36
13380,-117.61,34.13,21,8416,1386.0,4308,1341,4.4611,164600,INLAND,166772.91,172177.0,187168.23,155895.71,189990.05
6894,-118.11,34.05,23,3436,565.0,1729,529,5.9941,266700,<1H OCEAN,287895.6,287288.05,293897.92,285827.16,296190.34
3158,-118.95,35.26,24,1341,214.0,667,184,4.0,94500,INLAND,162519.9,103643.0,110126.99,86360.0,109790.55
8454,-118.35,33.9,25,3309,902.0,2299,837,3.0417,237000,<1H OCEAN,208209.84,300091.06,275168.64,377310.82,267949.62
